posicao,estrategia,media_pontos,dp_pontos,media_por_rodada,dp_por_rodada,ic95_low,ic95_high
1,Tit-for-Tat,4999.00,0.00,2.7772,0.0000,2.7772,2.7772
2,Grudger,4999.00,0.00,2.7772,0.0000,2.7772,2.7772
3,RC3C-Agressiva,4998.38,0.78,2.7769,0.0004,2.7768,2.7770
4,Tit-for-Two-Tats,4998.00,0.00,2.7767,0.0000,2.7767,2.7767
5,RC3C-Padrão,4997.62,0.92,2.7765,0.0005,2.7763,2.7766
6,RC3C-Suave,4995.62,1.34,2.7753,0.0007,2.7751,2.7756
7,TFT Generoso,4979.30,3.88,2.7663,0.0022,2.7657,2.7669
8,Pavlov,4900.00,0.00,2.7222,0.0000,2.7222,2.7222
9,Sempre Coopera,4800.00,0.00,2.6667,0.0000,2.6667,2.6667
10,Sempre Trai,3132.32,17.35,1.7402,0.0096,1.7375,1.7428
