repeticao,Sempre Coopera,Sempre Trai,Tit-for-Tat,Tit-for-Two-Tats,Grudger,Pavlov,TFT Generoso,RC3C-Suave,RC3C-Padrão,RC3C-Agressiva
1,4800,3144,4999,4998,4999,4900,4975,4996,4998,4999
2,4800,3136,4999,4998,4999,4900,4979,4998,4997,4996
3,4800,3160,4999,4998,4999,4900,4975,4995,4997,4997
4,4800,3148,4999,4998,4999,4900,4973,4996,4999,4999
5,4800,3148,4999,4998,4999,4900,4973,4997,4998,4999
6,4800,3160,4999,4998,4999,4900,4975,4995,4997,4997
7,4800,3148,4999,4998,4999,4900,4975,4996,4998,4998
8,4800,3152,4999,4998,4999,4900,4977,4996,4996,4997
9,4800,3156,4999,4998,4999,4900,4975,4996,4995,4999
10,4800,3132,4999,4998,4999,4900,4982,4995,4997,4997
11,4800,3136,4999,4998,4999,4900,4979,4994,4998,4999
12,4800,3132,4999,4998,4999,4900,4983,4994,4996,4998
13,4800,3136,4999,4998,4999,4900,4981,4994,4997,4998
14,4800,3120,4999,4998,4999,4900,4981,4996,4998,4999
15,4800,3128,4999,4998,4999,4900,4980,4995,4998,4999
16,4800,3136,4999,4998,4999,4900,4980,4994,4998,4998
17,4800,3124,4999,4998,4999,4900,4982,4996,4997,4998
18,4800,3132,4999,4998,4999,4900,4978,4998,4996,4999
19,4800,3140,4999,4998,4999,4900,4978,4995,4998,4998
20,4800,3104,4999,4998,4999,4900,4984,4997,4998,4999
21,4800,3124,4999,4998,4999,4900,4982,4994,4998,4999
22,4800,3132,4999,4998,4999,4900,4981,4993,4998,4999
23,4800,3136,4999,4998,4999,4900,4976,4996,4999,4999
24,4800,3112,4999,4998,4999,4900,4984,4996,4998,4998
25,4800,3128,4999,4998,4999,4900,4980,4995,4998,4999
26,4800,3160,4999,4998,4999,4900,4971,4997,4997,4999
27,4800,3104,4999,4998,4999,4900,4982,4998,4999,4999
28,4800,3136,4999,4998,4999,4900,4981,4993,4998,4998
29,4800,3132,4999,4998,4999,4900,4981,4994,4999,4997
30,4800,3128,4999,4998,4999,4900,4979,4998,4997,4998
31,4800,3120,4999,4998,4999,4900,4981,4997,4998,4998
32,4800,3108,4999,4998,4999,4900,4983,4996,4999,4999
33,4800,3112,4999,4998,4999,4900,4984,4996,4997,4999
34,4800,3124,4999,4998,4999,4900,4981,4996,4997,4999
35,4800,3140,4999,4998,4999,4900,4977,4996,4998,4998
36,4800,3192,4999,4998,4999,4900,4966,4996,4996,4998
37,4800,3148,4999,4998,4999,4900,4978,4993,4998,4998
38,4800,3116,4999,4998,4999,4900,4982,4997,4997,4999
39,4800,3140,4999,4998,4999,4900,4980,4994,4997,4998
40,4800,3128,4999,4998,4999,4900,4982,4994,4997,4999
41,4800,3128,4999,4998,4999,4900,4979,4996,4998,4999
42,4800,3112,4999,4998,4999,4900,4982,4997,4998,4999
43,4800,3144,4999,4998,4999,4900,4977,4995,4997,4999
44,4800,3124,4999,4998,4999,4900,4983,4994,4997,4999
45,4800,3116,4999,4998,4999,4900,4981,4996,4999,4999
46,4800,3136,4999,4998,4999,4900,4977,4996,4999,4998
47,4800,3112,4999,4998,4999,4900,4986,4995,4997,4998
48,4800,3128,4999,4998,4999,4900,4977,4997,4999,4999
49,4800,3128,4999,4998,4999,4900,4981,4996,4998,4997
50,4800,3096,4999,4998,4999,4900,4986,4997,4998,4999
